id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L2_21_2021,2021,south,hay_meadow,2021,-0.19020699054960746,0.4950073342316207,-0.02236579753931777,0.1905167811556726
L2_21_seeded,seeded,south,hay_meadow,seeded,0.6427729250596789,-0.726499387617409,0.5377147617840167,-0.09756544043457768
L2_22_2018,2018,south,hay_meadow,2018,-1.262087676708892,-0.019700015117968074,-0.11340211503171282,-0.11907083492843955
L2_22_2019,2019,south,hay_meadow,2019,-0.4766050056092531,0.3787370067852222,-0.5579864812065191,-0.11310545854624686
L2_22_2020,2020,south,hay_meadow,2020,-0.3582490915085301,0.40697288353500793,-0.11173635142972259,0.11953103169259205
L2_22_2021,2021,south,hay_meadow,2021,-0.0030423907605180004,0.5590164054301354,-0.02236579753931777,0.1905167811556726
L2_22_seeded,seeded,south,hay_meadow,seeded,0.6935628092493714,-0.6781748922282351,0.5377147617840167,-0.09756544043457768
L2_23_2018,2018,south,dry_grassland,2018,-1.2403542293810776,-0.042634331586600314,-0.11340211503171282,-0.11907083492843955
L2_23_2019,2019,south,dry_grassland,2019,-0.5850327348311908,0.4347465174220766,-0.5579864812065191,-0.11310545854624686
L2_23_2020,2020,south,dry_grassland,2020,-0.31503147404955684,0.36453715227286193,-0.11173635142972259,0.11953103169259205
L2_23_2021,2021,south,dry_grassland,2021,-0.17425601062413146,0.5140337570873829,-0.02236579753931777,0.1905167811556726
L2_23_seeded,seeded,south,dry_grassland,seeded,0.9264778724588365,0.6370756851760911,0.5377147617840167,-0.09756544043457768
L2_24_2018,2018,south,dry_grassland,2018,-1.025829090425753,-0.1360537152111184,-0.11340211503171282,-0.11907083492843955
L2_24_2019,2019,south,dry_grassland,2019,-0.514795258871985,0.33624142599215545,-0.5579864812065191,-0.11310545854624686
L2_24_2020,2020,south,dry_grassland,2020,-0.24431632487240207,0.3807127758616614,-0.11173635142972259,0.11953103169259205
L2_24_2021,2021,south,dry_grassland,2021,-0.3646528778688958,0.5088650755863634,-0.02236579753931777,0.1905167811556726
L2_24_seeded,seeded,south,dry_grassland,seeded,1.0380228211364055,0.2854004043458639,0.5377147617840167,-0.09756544043457768
L3_01_2018,2018,south,hay_meadow,2018,-1.1244499038886857,-0.28773805627646115,-0.11340211503171282,-0.11907083492843955
L3_01_2019,2019,south,hay_meadow,2019,-0.6593124776183494,0.19175250094984214,-0.5579864812065191,-0.11310545854624686
L3_01_2020,2020,south,hay_meadow,2020,-0.41202828752353543,0.5183408247725841,-0.11173635142972259,0.11953103169259205
L3_01_2021,2021,south,hay_meadow,2021,-0.33199047770061096,0.5600117692864587,-0.02236579753931777,0.1905167811556726
L3_01_seeded,seeded,south,hay_meadow,seeded,0.5710955449045421,-0.6417294113576921,0.5377147617840167,-0.09756544043457768
L3_02_2018,2018,south,dry_grassland,2018,-0.9508407768119486,-0.11410942030327641,-0.11340211503171282,-0.11907083492843955
L3_02_2019,2019,south,dry_grassland,2019,-0.6391298672184982,0.33477632499483523,-0.5579864812065191,-0.11310545854624686
L3_02_2020,2020,south,dry_grassland,2020,-0.40757786897746984,0.5365283391463013,-0.11173635142972259,0.11953103169259205
L3_02_2021,2021,south,dry_grassland,2021,-0.3875009441552931,0.47408864487821023,-0.02236579753931777,0.1905167811556726
L3_02_seeded,seeded,south,dry_grassland,seeded,0.7898392541370429,0.4967584730114599,0.5377147617840167,-0.09756544043457768
L3_03_2018,2018,south,hay_meadow,2018,-1.0800068499716762,-0.4579634037993016,-0.11340211503171282,-0.11907083492843955
L3_03_2019,2019,south,hay_meadow,2019,-0.4580890808579667,0.2109133065392675,-0.5579864812065191,-0.11310545854624686
L3_03_2020,2020,south,hay_meadow,2020,-0.23738696105007992,0.5334521756281115,-0.11173635142972259,0.11953103169259205
L3_03_2021,2021,south,hay_meadow,2021,-0.1525205901755449,0.580031172300773,-0.02236579753931777,0.1905167811556726
L3_03_seeded,seeded,south,hay_meadow,seeded,0.6395137513080108,-0.7892224456627731,0.5377147617840167,-0.09756544043457768
L3_04_2018,2018,south,dry_grassland,2018,-0.886955792057589,-0.19226181384890592,-0.11340211503171282,-0.11907083492843955
L3_04_2019,2019,south,dry_grassland,2019,-0.5430342467052242,0.1157193975395209,-0.5579864812065191,-0.11310545854624686
L3_04_2020,2020,south,dry_grassland,2020,-0.3424538113741124,0.38700909405457473,-0.11173635142972259,0.11953103169259205
L3_04_2021,2021,south,dry_grassland,2021,-0.28893633176750116,0.48863530136708305,-0.02236579753931777,0.1905167811556726
